"","Stop","Reel1","Reel2","Reel3","Reel4","Reel5"
"2","1","Scatter","Sym9","Sym2","Sym2","Sym8"
"3","2","Sym9","Sym3","Sym6","Sym7","Scatter"
"4","3","Sym2","Sym1","Sym5","Wild","Sym1"
"5","4","Sym4","Sym4","Scatter","Scatter","Sym2"
"6","5","Sym8","Sym7","Sym7","Sym6","Sym7"
"7","6","Sym5","Sym9","Sym9","Sym8","Sym4"
"8","7","Sym7","Sym2","Sym6","Sym7","Sym6"
"9","8","Sym9","Sym6","Sym2","Sym4","Sym8"
"10","9","Sym4","Sym8","Sym4","Sym1","Sym3"
"11","10","Sym6","Sym1","Sym8","Sym5","Sym7"
"12","11","Sym3","Sym4","Sym1","Sym8","Sym4"
"13","12","Sym8","Sym9","Sym3","Sym9","Sym2"
"14","13","Sym5","Sym2","Sym6","Sym4","Sym6"
"15","14","Sym9","Wild","Sym9","Sym7","Sym1"
"16","15","Sym1","Sym6","Sym7","Sym6","Sym9"
"17","16","Sym3","Sym5","Sym4","Sym2","Sym5"
"18","17","Sym6","Sym7","Sym5","Sym9","Sym4"
"19","18","Sym7","Sym8","Sym8","Sym8","Sym2"
"20","19","Sym5","Sym4","Sym9","Sym3","Wild"
"21","20","Wild","Sym3","Sym3","Sym4","Sym6"
"22","21","Sym8","Scatter","Sym2","Sym7","Sym3"
"23","22","Sym9","Sym9","Sym4","Sym5","Sym9"
"24","23","Sym2","Sym6","Sym8","Sym6","Sym5"
"25","24","Sym7","Sym7","Sym7","Sym3","Sym2"
"26","25","Sym5","Sym8","Sym5","Sym8","Sym8"
"27","26","Scatter","Sym5","Wild","Sym9","Sym6"
"28","27","Sym6","Sym3","Sym3","Sym5","Sym1"
"29","28","Sym8","Sym9","Sym8","Sym2","Sym9"
"30","29","Sym4","Sym1","Sym6","Sym4","Sym4"
"31","30","Sym3","Sym2","Sym7","Sym1","Sym5"
"32","31","Sym1","Sym7","Sym9","Sym9","Sym7"
"33","32","Sym6","Sym8","Sym1","Sym8","Sym3"
